name, units, cds_name, short_name, paramid, fc, an, note

# Data specification for ERA5 global reanalysis
# source: https://confluence.ecmwf.int/display/CKB/ERA5%3A+data+documentation


#-----------------------------------------------------------
# surface and single level parameters: invariants (in time)
#-----------------------------------------------------------

"Mean surface direct short-wave radiation flux, clear sky",W m**-2,mean_surface_direct_short_wave_radiation_flux_clear_sky,msdrswrfcs,235059,,x
"Mean surface downward short-wave radiation flux, clear sky",W m**-2,mean_surface_downward_short_wave_radiation_flux_clear_sky,msdwswrfcs,235068,,x
"Mean surface downward long-wave radiation flux, clear sky",W m**-2,mean_surface_downward_long_wave_radiation_flux_clear_sky,msdwlwrfcs,235069,,x
Mean potential evaporation rate,kg m**-2 s**-1,mean_potential_evaporation_rate,mper,235070,,x


#------------------------------------------------------
# surface and single level parameters: minimum/maximum
#------------------------------------------------------

10 metre wind gust since previous post-processing,m s**-1,10m_wind_gust_since_previous_post_processing,10fg,49,,x
Maximum temperature at 2 metres since previous post-processing,K,maximum_2m_temperature_since_previous_post_processing,mx2t,201,,x
Minimum temperature at 2 metres since previous post-processing,K,minimum_2m_temperature_since_previous_post_processing,mn2t,202,,x
Maximum total precipitation rate since previous post-processing,kg m**-2 s**-1,maximum_total_precipitation_rate_since_previous_post_processing,mxtpr,228226,,x
Minimum total precipitation rate since previous post-processing,kg m**-2 s**-1,minimum_total_precipitation_rate_since_previous_post_processing,mntpr,228227,,x


#-----------------------------------------------------------------------------------------
# surface and single level parameters: vertical integrals and total column: instantaneous
#-----------------------------------------------------------------------------------------

Vertical integral of mass of atmosphere,kg m**-2,vertical_integral_of_mass_of_atmosphere,vima,162053,x,x
Vertical integral of temperature,K kg m**-2,vertical_integral_of_temperature,vit,162054,x,x
Vertical integral of kinetic energy,J m**-2,vertical_integral_of_kinetic_energy,vike,162059,x,x
Vertical integral of thermal energy,J m**-2,vertical_integral_of_thermal_energy,vithe,162060,x,x
Vertical integral of potential+internal energy,J m**-2,vertical_integral_of_potential_and_internal_energy,vipie,162061,x,x
Vertical integral of potential+internal+latent energy,J m**-2,vertical_integral_of_potential_internal_and_latent_energy,vipile,162062,x,x
Vertical integral of total energy,J m**-2,vertical_integral_of_total_energy,vitoe,162063,x,x
Vertical integral of energy conversion,W m**-2,vertical_integral_of_energy_conversion,viec,162064,x,x
Vertical integral of eastward mass flux,kg m**-1 s**-1,vertical_integral_of_eastward_mass_flux,vimae,162065,x,x
Vertical integral of northward mass flux,kg m**-1 s**-1,vertical_integral_of_northward_mass_flux,viman,162066,x,x
Vertical integral of eastward kinetic energy flux,W m**-1,vertical_integral_of_eastward_kinetic_energy_flux,vikee,162067,x,x
Vertical integral of northward kinetic energy flux,W m**-1,vertical_integral_of_northward_kinetic_energy_flux,viken,162068,x,x
Vertical integral of eastward heat flux,W m**-1,vertical_integral_of_eastward_heat_flux,vithee,162069,x,x
Vertical integral of northward heat flux,W m**-1,vertical_integral_of_northward_heat_flux,vithen,162070,x,x
Vertical integral of eastward water vapour flux,kg m**-1 s**-1,vertical_integral_of_eastward_water_vapour_flux,viwve,162071,x,x
Vertical integral of northward water vapour flux,kg m**-1 s**-1,vertical_integral_of_northward_water_vapour_flux,viwvn,162072,x,x
Vertical integral of eastward geopotential flux,W m**-1,vertical_integral_of_eastward_geopotential_flux,vige,162073,x,x
Vertical integral of northward geopotential flux,W m**-1,vertical_integral_of_northward_geopotential_flux,vign,162074,x,x
Vertical integral of eastward total energy flux,W m**-1,vertical_integral_of_eastward_total_energy_flux,vitoee,162075,x,x
Vertical integral of northward total energy flux,W m**-1,vertical_integral_of_northward_total_energy_flux,vitoen,162076,x,x
Vertical integral of eastward ozone flux,kg m**-1 s**-1,vertical_integral_of_eastward_ozone_flux,vioze,162077,x,x
Vertical integral of northward ozone flux,kg m**-1 s**-1,vertical_integral_of_northward_ozone_flux,viozn,162078,x,x
Vertical integral of divergence of cloud liquid water flux,kg m**-2 s**-1,vertical_integral_of_divergence_of_cloud_liquid_water_flux,vilwd,162079,x,x
Vertical integral of divergence of cloud frozen water flux,kg m**-2 s**-1,vertical_integral_of_divergence_of_cloud_frozen_water_flux,viiwd,162080,x,x
Vertical integral of divergence of mass flux,kg m**-2 s**-1,vertical_integral_of_divergence_of_mass_flux,vimad,162081,x,x
Vertical integral of divergence of kinetic energy flux,W m**-2,vertical_integral_of_divergence_of_kinetic_energy_flux,viked,162082,x,x
Vertical integral of divergence of thermal energy flux,W m**-2,vertical_integral_of_divergence_of_thermal_energy_flux,vithed,162083,x,x
Vertical integral of divergence of moisture flux,kg m**-2 s**-1,vertical_integral_of_divergence_of_moisture_flux,viwvd,162084,x,x
Vertical integral of divergence of geopotential flux,W m**-2,vertical_integral_of_divergence_of_geopotential_flux,vigd,162085,x,x
Vertical integral of divergence of total energy flux,W m**-2,vertical_integral_of_divergence_of_total_energy_flux,vitoed,162086,x,x
Vertical integral of divergence of ozone flux,kg m**-2 s**-1,vertical_integral_of_divergence_of_ozone_flux,viozd,162087,x,x
Vertical integral of eastward cloud liquid water flux,kg m**-1 s**-1,vertical_integral_of_eastward_cloud_liquid_water_flux,vilwe,162088,x,x
Vertical integral of northward cloud liquid water flux,kg m**-1 s**-1,vertical_integral_of_northward_cloud_liquid_water_flux,vilwn,162089,x,x
Vertical integral of eastward cloud frozen water flux,kg m**-1 s**-1,vertical_integral_of_eastward_cloud_frozen_water_flux,viiwe,162090,x,x
Vertical integral of northward cloud frozen water flux,kg m**-1 s**-1,vertical_integral_of_northward_cloud_frozen_water_flux,viiwn,162091,x,x
Vertical integral of mass tendency,kg m**-2 s**-1,vertical_integral_of_mass_tendency,vimat,162092,x,
Total column cloud liquid water,kg m**-2,total_column_cloud_liquid_water,tclw,78,x,x
Total column cloud ice water,kg m**-2,total_column_cloud_ice_water,tciw,79,x,x
Total column supercooled liquid water,kg m**-2,total_column_supercooled_liquid_water,tcslw,228088,,x
Total column rain water,kg m**-2,total_column_rain_water,tcrw,228089,x,x
Total column snow water,kg m**-2,total_column_snow_water,tcsw,228090,x,x
Total column water,kg m**-2,total_column_water,tcw,136,x,x
Total column water vapour,kg m**-2,total_column_water_vapour,tcwv,137,x,x
Total column ozone,kg m**-2,total_column_ozone,tco3,206,x,x


#--------------------------------
# wave parameters: instantaneous
#--------------------------------
﻿Significant wave height of first swell partition,m,significant_wave_height_of_first_swell_partition,swh1,140121,x,x
Mean wave direction of first swell partition,degrees,mean_wave_direction_of_first_swell_partition,mwd1,140122,x,x
Mean wave period of first swell partition,s,mean_wave_period_of_first_swell_partition,mwp1,140123,x,x
Significant wave height of second swell partition,m,significant_wave_height_of_second_swell_partition,swh2,140124,x,x
Mean wave direction of second swell partition,degrees,mean_wave_period_of_second_swell_partition,mwd2,140125,x,x
Mean wave period of second swell partition,s,mean_wave_period_of_second_swell_partition,mwp2,140126,x,x
Significant wave height of third swell partition,m,significant_wave_height_of_third_swell_partition,swh3,140127,x,x
Mean wave direction of third swell partition,degrees,mean_wave_direction_of_third_swell_partition,mwd3,140128,x,x
Mean wave period of third swell partition,s,mean_wave_period_of_third_swell_partition,mwp3,140129,x,x
Wave Spectral Skewness,dimensionless,wave_spectral_skewness,wss,140207,x,x
Free convective velocity over the oceans,m s**-1,free_convective_velocity_over_the_oceans,wstar,140208,x,x
Air density over the oceans,kg m**-3,air_density_over_the_oceans,rhoao,140209,x,x
Normalized energy flux into waves,dimensionless,normalized_energy_flux_into_waves,phiaw,140211,x,x
Normalized energy flux into ocean,dimensionless,normalized_energy_flux_into_ocean,phioc,140212,x,x
Normalized stress into ocean,dimensionless,normalized_stress_into_ocean,tauoc,140214,x,x
U-component stokes drift,m s**-1,u_component_stokes_drift,ust,140215,x,x
V-component stokes drift,m s**-1,v_component_stokes_drift,vst,140216,x,x
Period corresponding to maximum individual wave height,s,period_corresponding_to_maximum_individual_wave_height,tmax,140217,x,x
Maximum individual wave height,m,maximum_individual_wave_height,hmax,140218,x,x
Model bathymetry,m,model_bathymetry,wmb,140219,x,x
Mean wave period based on first moment,s,mean_wave_period_based_on_first_moment,mp1,140220,x,x
Mean zero-crossing wave period,s,mean_zero_crossing_wave_period,mp2,140221,x,x
Wave spectral directional width,dimensionless,wave_spectral_directional_width,wdw,140222,x,x
Mean wave period based on first moment for wind waves,s,mean_wave_period_based_on_first_moment_for_wind_waves,p1ww,140223,x,x
Mean wave period based on second moment for wind waves,s,mean_wave_period_based_on_second_moment_for_wind_waves,p2ww,140224,x,x
Wave spectral directional width for wind waves,dimensionless,wave_spectral_directional_width_for_wind_waves,dwww,140225,x,x
Mean wave period based on first moment for swell,s,mean_wave_period_based_on_first_moment_for_swell,p1ps,140226,x,x
Mean wave period based on second moment for swell,s,mean_wave_period_based_on_second_moment_for_wind_waves,p2ps,140227,x,x
Wave spectral directional width for swell,dimensionless,wave_spectral_directional_width_for_swell,dwps,140228,x,x
Significant height of combined wind waves and swell,m,significant_height_of_combined_wind_waves_and_swell,swh,140229,x,x
Mean wave direction,degrees,mean_wave_direction,mwd,140230,x,x
Peak wave period,s,peak_wave_period,pp1d,140231,x,x
Mean wave period,s,mean_wave_period,mwp,140232,x,x
Coefficient of drag with waves,dimensionless,coefficient_of_drag_with_waves,cdww,140233,x,x
Significant height of wind waves,m,significant_height_of_wind_waves,shww,140234,x,x
Mean direction of wind waves,degrees,mean_direction_of_wind_waves,mdww,140235,x,x
Mean period of wind waves,s,mean_period_of_wind_waves,mpww,140236,x,x
